name	title	type
ENT_NAME	Denumirea completa a contribuabilului	text
CUATM	Codul localităţii (CUATM)	custom
CAEM	Activitatea principală	custom
STREET	Strada	text
STREET_NR	Nr casei	text
CUIIO	Codul CUIÎO	text
IDNO	Codul fiscal	text
HEAD	Conducătorul	text
EXECUTOR	Executant	text
EMAIL	e-mail	text
YEAR	Anul de raportare	period_year
nalogPeriodLetter	Perioada fiscală	period_type
nalogPeriodType	Perioada fiscală 	period
TITLU_R2_C31	Executant	text
TITLU_R3_C31	Numar telefon	text
TITLU_R4_C31	e-mail	text
TITLU_R7_C31	Conducătorul	text
TITLU_R5_C31	Forma de proprietate	custom
TITLU_R1_C31	Forma organizatorico-juridică	custom
CAP3_R350_C2	Capitol 3 Rînd. 350 col.2	float
CAP4_R400_C3	Tabel 4 Rînd. 400 col.1	float
CAP4_R400_C4	Tabel 4 Rînd. 400 col.2	numeric
CAP4_R400_C5	Tabel 4 Rînd. 400 col.3	float
CAP4_R_CA	Tabel 4 col.A	numeric
CAP4_R_C31	Tabel 4 col.B	text
CAP4_R_C32	Tabel 4 col.C	text
CAP4_R_C3	Tabel 4 col.1	float
CAP4_R_C4	Tabel 4 col.2	numeric
CAP4_R_C5	Tabel 4 col.3	float
CAP5_R500_C8	Tabel 5 Rînd. 500 col.1	float
CAP5_R500_C9	Tabel 5 Rînd. 500 col.2	float
CAP5_R500_C10	Tabel 5 Rînd. 500 col.3	float
CAP5_R_CA	Tabel 5 col.A	numeric
CAP5_R_CB	Tabel 5 col.B	text
CAP5_R_CC	Tabel 5 col.C	text
CAP5_R_C1	Tabel 5 col.D, raion	text
CAP5_R_C32	Tabel 5 col.D, Localitatea	text
CAP5_R_C33	Tabel 5 col.D, Strada	text
CAP5_R_C34	Tabel 5 col.D, Numar Casa	text
CAP5_R_C35	Tabel 5 col.D, Numar Apartament	text
CAP5_R_C36	Tabel 5 col.D, CUATM	text
CAP5_R_C37	Tabel 5 col.F, CAEM-2	text
CAP5_R_C8	Tabel 5 col.1	float
CAP5_R_C9	Tabel 5 col.2	float
CAP5_R_C10	Tabel 5 col.3	float
CAP9_R900_C1	Capitol 9 Rînd. 900 col.1	float
CAP9_R910_C1	Capitol 9 Rînd. 910 col.1	float
CAP9_R920_C1	Capitol 9 Rînd. 920 col.1	float
CAP9_R930_C1	Capitol 9 Rînd. 930 col.1	float
CAP9_R940_C1	Capitol 9 Rînd. 940 col.1	float
CAP9_R950_C1	Capitol 9 Rînd. 950 col.1	float
CAP9_R960_C1	Capitol 9 Rînd. 960 col.1	float
CAP9_R970_C1	Capitol 9 Rînd. 970 col.1	float
CAP9_R980_C1	Capitol 9 Rînd. 980 col.1	numeric
caem_select		text




l


natalia.siminovici
1234567890
